Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_294_1737,VPWR,li1,805.9200,813.2800,1.799999
FILLER_294_1733,VPWR,li1,803.3900,813.2800,1.799999
FILLER_294_1721,VPWR,li1,799.9400,813.2800,1.799999
FILLER_294_1709,VPWR,li1,794.4200,813.2800,1.799999
FILLER_294_1705,VPWR,li1,790.5100,813.2800,1.799999
FILLER_294_1693,VPWR,li1,787.0600,813.2800,1.799999
FILLER_294_1681,VPWR,li1,781.5400,813.2800,1.799999
FILLER_294_1677,VPWR,li1,777.6300,813.2800,1.799999
FILLER_294_1665,VPWR,li1,774.1800,813.2800,1.799998
FILLER_294_1653,VPWR,li1,768.6600,813.2800,1.799998
FILLER_294_1649,VPWR,li1,764.7500,813.2800,1.799998
FILLER_294_1637,VPWR,li1,761.3000,813.2800,1.799998
FILLER_294_1625,VPWR,li1,755.7800,813.2800,1.799997
FILLER_294_1621,VPWR,li1,751.8700,813.2800,1.799997
FILLER_294_1609,VPWR,li1,748.4200,813.2800,1.799997
FILLER_294_1597,VPWR,li1,742.9000,813.2800,1.799996
FILLER_294_1593,VPWR,li1,738.9900,813.2800,1.799996
FILLER_294_1581,VPWR,li1,735.5400,813.2800,1.799996
FILLER_294_1569,VPWR,li1,730.0200,813.2800,1.799996
FILLER_294_1565,VPWR,li1,726.1100,813.2800,1.799995
FILLER_294_1553,VPWR,li1,722.6600,813.2800,1.799995
FILLER_294_1541,VPWR,li1,717.1400,813.2800,1.799995
FILLER_294_1537,VPWR,li1,713.2300,813.2800,1.799995
FILLER_294_1525,VPWR,li1,709.7800,813.2800,1.799994
FILLER_294_1513,VPWR,li1,704.2600,813.2800,1.799994
FILLER_294_1509,VPWR,li1,700.3500,813.2800,1.799994
FILLER_294_1497,VPWR,li1,696.9000,813.2800,1.799994
FILLER_294_1485,VPWR,li1,691.3800,813.2800,1.799993
FILLER_294_1481,VPWR,li1,687.4700,813.2800,1.799993
FILLER_294_1469,VPWR,li1,684.0200,813.2800,1.799993
FILLER_294_1457,VPWR,li1,678.5000,813.2800,1.799992
FILLER_294_1453,VPWR,li1,674.5900,813.2800,1.799992
FILLER_294_1441,VPWR,li1,671.1400,813.2800,1.799992
FILLER_294_1429,VPWR,li1,665.6200,813.2800,1.799992
FILLER_294_1425,VPWR,li1,661.7100,813.2800,1.799991
FILLER_294_1413,VPWR,li1,658.2600,813.2800,1.799991
FILLER_294_1401,VPWR,li1,652.7400,813.2800,1.799991
FILLER_294_1397,VPWR,li1,648.8300,813.2800,1.799991
FILLER_294_1385,VPWR,li1,645.3800,813.2800,1.799990
FILLER_294_1373,VPWR,li1,639.8600,813.2800,1.799990
FILLER_294_1369,VPWR,li1,635.9500,813.2800,1.799990
FILLER_294_1357,VPWR,li1,632.5000,813.2800,1.799986
FILLER_294_1345,VPWR,li1,626.9800,813.2800,1.799980
FILLER_294_1336,VPWR,li1,621.9200,813.2800,1.799974
FILLER_294_1329,VPWR,li1,617.7800,813.2800,1.799970
FILLER_294_1317,VPWR,li1,614.1000,813.2800,1.799966
FILLER_294_1309,VPWR,li1,608.3500,813.2800,1.799960
FILLER_294_1301,VPWR,li1,605.8200,813.2800,1.799958
FILLER_294_1289,VPWR,li1,601.2200,813.2800,1.799956
FILLER_294_1285,VPWR,li1,597.3100,813.2800,1.799954
