net,length_um
net1087,1.80924mm
net1371,1.48619mm
net1247,1.444675mm
_01460_,1.42513mm
net1273,1.40872mm
net412,1.38349mm
net1229,1.34654mm
_11245_,1.34316mm
net1260,1.29933mm
_11788_,1.19112mm
_10603_,1.08863mm
net1711,1.087mm
net1020,1.024885mm
net638,1.02236mm
net1261,1.00849mm
net658,1.00073mm
net869,982.16µm
net1269,979.2µm
_07121_,946.43µm
chacha_unit.U_QR_COL_2.in_b\[12\],939.47µm
net665,936.86µm
chacha_unit.U_QR_COL_0.in_b\[13\],935.11µm
chacha_unit.U_QR_COL_2.in_b\[0\],930.07µm
clknet_0_clk,928.89µm
net633,926.68µm
net648,925.12µm
net713,922.12µm
chacha_unit.U_QR_COL_2.in_b\[14\],919.6µm
net643,917.355µm
net906,915.255µm
net711,914.34µm
net626,913.44µm
net1262,910.97µm
net681,907.77µm
chacha_unit.U_QR_COL_3.in_b\[4\],907.11µm
net670,906.35µm
chacha_unit.U_QR_COL_2.in_c\[7\],906.05µm
net704,904.14µm
net624,903.63µm
net1539,902.36µm
net650,899.64µm
net1362,893.57µm
net686,892.71µm
net701,883.19µm
net1070,879.29µm
_11665_,877.87µm
net1331,876.69µm
chacha_unit.U_QR_COL_3.in_b\[3\],873.58µm
net635,869.8µm
net653,867.38µm
chacha_unit.U_QR_COL_3.in_b\[5\],862.795µm
net645,859.46µm
chacha_unit.U_QR_COL_0.in_b\[14\],854.99µm
net655,854.745µm
net1129,852.78µm
net895,852.68µm
net787,849.985µm
chacha_unit.U_QR_COL_3.in_b\[2\],849.365µm
net706,842.72µm
net660,836.74µm
chacha_unit.U_QR_COL_1.in_a\[2\],836.66µm
net629,836.52µm
_11790_,835.08µm
chacha_unit.U_QR_COL_0.in_c\[11\],831.34µm
net896,828.98µm
net640,826.27µm
net696,824.45µm
net691,823.695µm
chacha_unit.U_QR_COL_0.in_b\[20\],821.48µm
_11268_,819.96µm
_11238_,808.98µm
chacha_unit.U_QR_COL_2.in_b\[1\],807.24µm
chacha_unit.U_QR_COL_2.in_b\[7\],806.64µm
chacha_unit.U_QR_COL_0.in_b\[11\],804.86µm
chacha_unit.U_QR_COL_3.in_c\[12\],804.66µm
chacha_unit.U_QR_COL_3.in_c\[0\],803.96µm
_10602_,803.64µm
clknet_2_2_0_clk,803.05µm
_11241_,801.94µm
_11344_,801.73µm
chacha_unit.U_QR_COL_2.in_b\[6\],801.59µm
_11246_,795.49µm
chacha_unit.U_QR_COL_2.in_b\[27\],794.93µm
_09673_,793.39µm
_11243_,792.82µm
_11244_,792.17µm
chacha_unit.U_QR_COL_0.in_c\[12\],790.615µm
chacha_unit.U_QR_COL_2.in_b\[31\],790.14µm
clknet_2_3_0_clk,789.96µm
net826,789.93µm
_11399_,787.49µm
net679,784µm
chacha_unit.U_QR_COL_2.in_c\[4\],783.18µm
clk,779.66µm
chacha_unit.U_QR_COL_2.in_c\[16\],777.51µm
net1361,775.75µm
net543,775.44µm
_09456_,775.34µm
_09239_,775.18µm
chacha_unit.U_QR_COL_3.in_c\[11\],775.165µm
chacha_unit.U_QR_COL_2.in_b\[30\],772.88µm
chacha_unit.U_QR_COL_0.in_c\[13\],770.3µm
_11236_,769.94µm
_11381_,768.12µm
chacha_unit.U_QR_COL_2.in_b\[18\],768.085µm
net1374,767.3µm
net702,766.08µm
net1272,764.76µm
clknet_2_1_0_clk,764.3µm
_11240_,763.83µm
net485,762.8µm
chacha_unit.U_QR_COL_0.in_c\[8\],761.825µm
net768,761.77µm
chacha_unit.U_QR_COL_0.in_b\[4\],761.115µm
_11234_,760.65µm
chacha_unit.U_QR_COL_2.in_c\[27\],758.97µm
_11380_,757.77µm
_11225_,757.15µm
out_key_ptr\[1\],756.39µm
_11386_,751.445µm
chacha_unit.U_QR_COL_0.in_c\[10\],751.125µm
_11383_,749.01µm
current_chunk_id\[1\],748.25µm
_11400_,747.55µm
net520,745.09µm
_11303_,744.9µm
chacha_unit.U_QR_COL_3.in_c\[10\],743.735µm
chacha_unit.U_QR_COL_3.in_c\[28\],742.28µm
net684,739.84µm
chacha_unit.U_QR_COL_3.in_c\[9\],736.95µm
chacha_unit.U_QR_COL_0.in_b\[1\],736.62µm
chacha_unit.U_QR_COL_0.in_d\[9\],735.72µm
chacha_unit.U_QR_COL_2.in_b\[29\],735.625µm
net1370,734.86µm
_11229_,734.83µm
chacha_unit.U_QR_COL_3.in_c\[8\],734.37µm
chacha_unit.U_QR_COL_3.in_c\[13\],733.8µm
_11230_,733.37µm
_11401_,733.36µm
chacha_unit.U_QR_COL_0.in_b\[8\],730.47µm
chacha_unit.U_QR_COL_0.in_b\[9\],729.7µm
chacha_unit.U_QR_COL_2.in_b\[8\],725.765µm
