Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_294_1737,VGND,li1,805.9200,810.5600,0.000001
FILLER_294_1733,VGND,li1,803.3900,810.5600,0.000001
FILLER_294_1721,VGND,li1,799.9400,810.5600,0.000001
FILLER_294_1709,VGND,li1,794.4200,810.5600,0.000001
FILLER_294_1705,VGND,li1,790.5100,810.5600,0.000001
FILLER_294_1693,VGND,li1,787.0600,810.5600,0.000001
FILLER_294_1681,VGND,li1,781.5400,810.5600,0.000002
FILLER_294_1677,VGND,li1,777.6300,810.5600,0.000002
FILLER_294_1665,VGND,li1,774.1800,810.5600,0.000002
FILLER_294_1653,VGND,li1,768.6600,810.5600,0.000003
FILLER_294_1649,VGND,li1,764.7500,810.5600,0.000003
FILLER_294_1637,VGND,li1,761.3000,810.5600,0.000003
FILLER_294_1625,VGND,li1,755.7800,810.5600,0.000004
FILLER_294_1621,VGND,li1,751.8700,810.5600,0.000004
FILLER_294_1609,VGND,li1,748.4200,810.5600,0.000004
FILLER_294_1597,VGND,li1,742.9000,810.5600,0.000005
FILLER_294_1593,VGND,li1,738.9900,810.5600,0.000005
FILLER_294_1581,VGND,li1,735.5400,810.5600,0.000006
FILLER_294_1569,VGND,li1,730.0200,810.5600,0.000006
FILLER_294_1565,VGND,li1,726.1100,810.5600,0.000006
FILLER_294_1553,VGND,li1,722.6600,810.5600,0.000007
FILLER_294_1541,VGND,li1,717.1400,810.5600,0.000007
FILLER_294_1537,VGND,li1,713.2300,810.5600,0.000007
FILLER_294_1525,VGND,li1,709.7800,810.5600,0.000008
FILLER_294_1513,VGND,li1,704.2600,810.5600,0.000008
FILLER_294_1509,VGND,li1,700.3500,810.5600,0.000009
FILLER_294_1497,VGND,li1,696.9000,810.5600,0.000009
FILLER_294_1485,VGND,li1,691.3800,810.5600,0.000009
FILLER_294_1481,VGND,li1,687.4700,810.5600,0.000010
FILLER_294_1469,VGND,li1,684.0200,810.5600,0.000010
FILLER_294_1457,VGND,li1,678.5000,810.5600,0.000010
FILLER_294_1453,VGND,li1,674.5900,810.5600,0.000011
FILLER_294_1441,VGND,li1,671.1400,810.5600,0.000011
FILLER_294_1429,VGND,li1,665.6200,810.5600,0.000011
FILLER_294_1425,VGND,li1,661.7100,810.5600,0.000012
FILLER_294_1413,VGND,li1,658.2600,810.5600,0.000012
FILLER_294_1401,VGND,li1,652.7400,810.5600,0.000012
FILLER_294_1397,VGND,li1,648.8300,810.5600,0.000013
FILLER_294_1385,VGND,li1,645.3800,810.5600,0.000013
FILLER_294_1373,VGND,li1,639.8600,810.5600,0.000014
FILLER_294_1369,VGND,li1,635.9500,810.5600,0.000017
FILLER_294_1357,VGND,li1,632.5000,810.5600,0.000022
FILLER_294_1345,VGND,li1,626.9800,810.5600,0.000030
FILLER_294_1336,VGND,li1,621.9200,810.5600,0.000037
FILLER_294_1329,VGND,li1,617.7800,810.5600,0.000043
FILLER_294_1317,VGND,li1,614.1000,810.5600,0.000048
FILLER_294_1309,VGND,li1,608.3500,810.5600,0.000056
FILLER_294_1301,VGND,li1,605.8200,810.5600,0.000059
FILLER_294_1289,VGND,li1,601.2200,810.5600,0.000063
FILLER_294_1285,VGND,li1,597.3100,810.5600,0.000068
FILLER_294_1273,VGND,li1,593.8600,810.5600,0.000070
FILLER_294_1261,VGND,li1,588.3400,810.5600,0.000075
FILLER_294_1253,VGND,li1,582.5900,810.5600,0.000080
FILLER_294_1245,VGND,li1,580.0600,810.5600,0.000082
FILLER_294_1233,VGND,li1,575.4600,810.5600,0.000086
FILLER_294_1231,VGND,li1,572.0100,810.5600,0.000090
FILLER_294_1225,VGND,li1,570.4000,810.5600,0.000090
FILLER_294_1219,VGND,li1,566.7200,810.5600,0.000094
FILLER_294_1211,VGND,li1,564.4200,810.5600,0.000095
FILLER_294_1205,VGND,li1,560.2800,810.5600,0.000098
FILLER_294_1202,VGND,li1,558.9000,810.5600,0.000098
FILLER_294_1194,VGND,li1,556.6000,810.5600,0.000099
FILLER_294_1182,VGND,li1,552.0000,810.5600,0.000099
FILLER_294_1177,VGND,li1,547.4000,810.5600,0.000097
FILLER_294_1175,VGND,li1,546.2500,810.5600,0.000097
FILLER_294_1169,VGND,li1,544.6400,810.5600,0.000097
FILLER_294_1161,VGND,li1,540.5000,810.5600,0.000095
FILLER_294_1149,VGND,li1,536.8200,810.5600,0.000092
FILLER_294_1145,VGND,li1,532.9100,810.5600,0.000089
FILLER_294_1133,VGND,li1,529.4600,810.5600,0.000087
FILLER_294_1121,VGND,li1,523.9400,810.5600,0.000082
FILLER_294_1117,VGND,li1,520.0300,810.5600,0.000079
FILLER_294_1105,VGND,li1,516.5800,810.5600,0.000077
FILLER_294_1093,VGND,li1,511.0600,810.5600,0.000073
FILLER_294_1091,VGND,li1,507.6100,810.5600,0.000070
FILLER_294_1085,VGND,li1,505.3100,810.5600,0.000068
FILLER_294_1077,VGND,li1,502.7800,810.5600,0.000066
FILLER_294_1073,VGND,li1,499.3300,810.5600,0.000064
FILLER_294_1065,VGND,li1,497.2600,810.5600,0.000062
FILLER_294_1061,VGND,li1,494.2700,810.5600,0.000059
FILLER_294_1049,VGND,li1,490.8200,810.5600,0.000057
FILLER_294_1043,VGND,li1,485.9900,810.5600,0.000050
FILLER_294_1037,VGND,li1,483.0000,810.5600,0.000057
FILLER_294_1028,VGND,li1,480.2400,810.5600,0.000063
FILLER_294_1021,VGND,li1,476.1000,810.5600,0.000075
FILLER_294_1009,VGND,li1,472.4200,810.5600,0.000087
FILLER_294_1005,VGND,li1,468.5100,810.5600,0.000095
FILLER_294_993,VGND,li1,465.0600,810.5600,0.000104
FILLER_294_981,VGND,li1,459.5400,810.5600,0.000116
FILLER_294_978,VGND,li1,455.8600,810.5600,0.000124
FILLER_294_966,VGND,li1,452.6400,810.5600,0.000132
FILLER_294_959,VGND,li1,447.3500,810.5600,0.000143
FILLER_294_953,VGND,li1,444.3600,810.5600,0.000147
FILLER_294_949,VGND,li1,442.7500,810.5600,0.000149
FILLER_294_937,VGND,li1,439.3000,810.5600,0.000153
FILLER_294_925,VGND,li1,433.7800,810.5600,0.000158
FILLER_294_921,VGND,li1,429.8700,810.5600,0.000163
FILLER_294_909,VGND,li1,426.4200,810.5600,0.000164
FILLER_294_897,VGND,li1,420.9000,810.5600,0.000169
FILLER_294_894,VGND,li1,417.2200,810.5600,0.000171
FILLER_294_882,VGND,li1,414.0000,810.5600,0.000173
FILLER_294_877,VGND,li1,409.1700,810.5600,0.000175
